index,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,Class
0,65,22,216,0.7491749174917491,0.0,0.6254545454545455,0.0924369747899159,2,10,204,0,7,15,5,60,50,155,47,26,0.1798561151079136,0.5575539568345323,0.1690647482014388,0.0935251798561151,278,2522.25,50.22200712834962,21.0,5.0,95.0,34.0,26.0,21.0,20.0,6.0,1.335483870967742,0.851063829787234,1.0384615384615383,0.64,1043,141,0.1351869606903163,0.1190878378378378,224,44,28,19,728,100,11,3,2,25,645,148,204,0.0092592592592592,0.0462962962962962,0.9444444444444444,0.0,0.3181818181818182,0.6818181818181818,0.9230769230769232,0.8076923076923077,0.1923076923076923,0.4468085106382978,0.425531914893617,0.1276595744680851,0.6129032258064516,0.2193548387096774,0.1677419354838709,0.2147651006711409,0.0421860019175455,0.0268456375838926,0.0182166826462128,0.6979865771812079,0.7092198581560284,0.0780141843971631,0.0212765957446808,0.0141843971631205,0.1773049645390071,0.6469408224674023,0.148445336008024,0.2046138415245737,728,37,27,26,199,13,103,0,3.6857,0.79,18,20,2,9,3,0,0,3,0,7,1,1,4,1,738,2712,1974,0.373860182370821,808,2642,1834,0.440567066521265,4,5,4,9,4,2,6,4,4,4,2,4,4,4,4,2,2,4,2,2,2,3,4,4,4,4,4,3,2,4,4,9,4,4,2,2,3,2,1.0
1,49,19,399,0.5331905781584583,0.0449678800856531,0.5306666666666666,0.0454545454545454,2,30,367,0,12,7,15,34,94,165,52,32,0.2740524781341108,0.4810495626822158,0.151603498542274,0.0932944606413994,343,2594.1875,50.933166993620176,22.0,10.0,89.0,39.0,37.0,8.0,30.0,14.0,1.715151515151515,0.9423076923076924,1.46875,0.5744680851063829,1088,187,0.171875,0.1466666666666666,414,75,50,52,497,153,10,3,2,19,480,197,383,0.0050125313283208,0.075187969924812,0.9197994987468672,0.0,0.631578947368421,0.3684210526315789,0.6938775510204082,0.6875,0.3125,0.1538461538461538,0.5769230769230769,0.2692307692307692,0.5393939393939394,0.2363636363636364,0.2242424242424242,0.3805147058823529,0.0689338235294117,0.0459558823529411,0.0477941176470588,0.4568014705882353,0.8181818181818182,0.053475935828877,0.0160427807486631,0.0106951871657754,0.1016042780748663,0.4528301886792453,0.1858490566037736,0.3613207547169811,497,51,21,28,372,9,137,0,4.2491,0.91,21,14,0,13,1,0,0,1,0,4,0,1,3,0,1074,3985,2911,0.3689453795946409,1168,3891,2723,0.4289386705839149,7,4,5,8,3,5,2,9,6,3,4,6,5,6,3,4,3,5,2,3,4,4,8,5,3,5,8,4,4,8,2,7,8,2,3,4,1,4,1.0
2,59,34,154,0.7854251012145749,0.0445344129554655,0.6699029126213593,0.1808510638297872,0,14,140,3,8,23,8,51,15,24,38,30,0.1401869158878504,0.2242990654205607,0.3551401869158878,0.2803738317757009,107,70.6875,8.407585860400118,25.0,5.0,3.0,7.0,14.0,10.0,9.0,19.0,2.208333333333333,1.5263157894736843,1.2333333333333334,0.8,235,95,0.4042553191489361,0.2878787878787879,73,19,12,11,120,77,1,2,4,11,111,39,83,0.0,0.0909090909090909,0.9090909090909092,0.088235294117647,0.2352941176470588,0.6764705882352942,0.8644067796610171,0.8333333333333334,0.1666666666666666,0.2631578947368421,0.2368421052631579,0.5,0.125,0.2916666666666667,0.5833333333333334,0.3106382978723404,0.0808510638297872,0.051063829787234,0.0468085106382978,0.5106382978723404,0.8105263157894737,0.0105263157894736,0.0210526315789473,0.0421052631578947,0.1157894736842105,0.4763948497854078,0.167381974248927,0.3562231759656652,123,25,11,18,156,10,89,0,3.3160000000000003,0.76,8,17,0,2,0,0,0,0,0,4,0,1,2,1,162,986,824,0.1966019417475728,414,734,320,1.29375,4,3,3,3,2,3,3,4,4,6,3,3,4,3,11,2,2,3,2,3,2,2,3,3,9,3,4,3,2,3,4,3,3,9,4,2,2,4,0.0
3,56,73,19,1.0,0.0,0.4375,0.7934782608695652,0,1,18,0,46,27,9,47,44,121,35,12,0.2075471698113208,0.5707547169811321,0.1650943396226415,0.0566037735849056,212,1677.5,40.95729483254479,7.0,5.0,68.0,40.0,13.0,18.0,13.0,4.0,1.4132231404958675,0.6,3.75,0.4772727272727273,1102,193,0.1751361161524501,0.149034749034749,199,29,20,23,831,145,17,3,2,26,732,132,176,0.0,0.0526315789473684,0.9473684210526316,0.0,0.6301369863013698,0.3698630136986301,0.8392857142857143,0.5833333333333334,0.4166666666666667,0.5142857142857142,0.3714285714285713,0.1142857142857142,0.5619834710743802,0.3305785123966942,0.1074380165289256,0.1805807622504536,0.0263157894736842,0.0181488203266787,0.0208711433756805,0.7540834845735027,0.7512953367875648,0.0880829015544041,0.0155440414507772,0.0103626943005181,0.1347150259067357,0.7038461538461539,0.1269230769230769,0.1692307692307692,831,27,26,20,63,15,48,1,1.7519,0.89,12,11,0,0,2,1,0,1,0,5,2,0,3,0,868,2656,1788,0.4854586129753921,782,2742,1960,0.398979591836735,2,2,1,2,2,1,2,2,3,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1.0
4,69,48,172,0.8442906574394463,0.0103806228373702,0.5095785440613027,0.2181818181818181,1,14,157,4,20,24,7,62,41,38,47,17,0.2867132867132867,0.2657342657342657,0.3286713286713286,0.1188811188811188,143,127.6875,11.299889379989526,16.0,1.0,15.0,7.0,16.0,15.0,18.0,14.0,0.7631578947368421,0.9148936170212766,1.5294117647058822,0.7804878048780488,319,112,0.3510971786833856,0.259860788863109,147,26,11,14,121,85,5,4,4,14,110,69,130,0.005813953488372,0.0813953488372093,0.9127906976744186,0.0833333333333333,0.4166666666666667,0.5,0.8985507246376812,0.9411764705882352,0.0588235294117647,0.3191489361702128,0.3829787234042553,0.2978723404255319,0.3947368421052632,0.1842105263157894,0.4210526315789473,0.4608150470219436,0.0815047021943573,0.0344827586206896,0.0438871473354232,0.3793103448275862,0.7589285714285714,0.0446428571428571,0.0357142857142857,0.0357142857142857,0.125,0.3559870550161812,0.2233009708737864,0.4207119741100324,125,29,15,21,209,14,141,0,2.7298,0.89,10,14,0,14,1,0,0,1,0,9,1,7,1,0,348,1406,1058,0.328922495274102,543,1211,668,0.812874251497006,4,4,2,3,2,2,3,4,4,5,5,3,4,3,5,2,2,3,2,3,1,3,3,2,2,2,3,2,2,2,3,3,3,2,2,2,2,6,1.0
5,70,32,263,0.7369863013698629,0.0027397260273972,0.5366568914956011,0.1084745762711864,1,24,238,0,16,16,15,55,38,113,43,10,0.1862745098039216,0.553921568627451,0.2107843137254902,0.0490196078431372,204,1439.5,37.94074327158075,6.0,4.0,54.0,29.0,30.0,14.0,20.0,9.0,1.4867256637168142,2.744186046511628,4.1,0.7894736842105263,687,202,0.2940320232896652,0.2272215973003374,361,90,36,29,171,172,7,5,4,14,167,149,352,0.0038022813688212,0.091254752851711,0.9049429657794676,0.0,0.5,0.5,0.7857142857142857,0.6,0.4,0.3255813953488372,0.4651162790697674,0.2093023255813953,0.4778761061946903,0.2566371681415929,0.2654867256637168,0.5254730713245997,0.131004366812227,0.0524017467248908,0.0422125181950509,0.2489082969432314,0.8514851485148515,0.0346534653465346,0.0247524752475247,0.0198019801980198,0.0693069306930693,0.25,0.2230538922155688,0.5269461077844312,171,39,15,23,250,9,101,0,3.0225,0.89,13,12,0,10,1,0,1,0,0,8,3,2,3,0,607,2458,1851,0.327930848190168,904,2161,1257,0.7191726332537791,4,2,2,6,2,2,3,5,4,4,5,5,8,5,1,2,2,5,2,2,2,4,4,2,6,2,3,2,2,2,3,6,4,5,2,2,1,2,
6,88,68,59,0.9906976744186048,0.0,0.4682926829268293,0.5354330708661418,1,16,42,1,50,17,14,74,230,43,43,300,0.3733766233766233,0.0698051948051948,0.0698051948051948,0.4870129870129871,616,12933.5,113.72554682216304,21.0,279.0,18.0,18.0,7.0,18.0,21.0,4.0,1.2325581395348837,0.9302325581395348,1.4,0.8086956521739129,550,96,0.1745454545454545,0.1486068111455108,76,17,12,15,430,72,1,3,4,16,369,91,75,0.0169491525423728,0.2711864406779661,0.7118644067796609,0.0147058823529411,0.7352941176470589,0.25,0.8409090909090909,0.07,0.93,0.4186046511627907,0.4883720930232558,0.0930232558139534,0.4186046511627907,0.4186046511627907,0.1627906976744186,0.1381818181818181,0.0309090909090909,0.0218181818181818,0.0272727272727272,0.7818181818181819,0.75,0.0104166666666666,0.03125,0.0416666666666666,0.1666666666666666,0.6897196261682244,0.1700934579439252,0.1401869158878504,431,33,17,23,123,16,83,0,1.7938,0.92,24,21,1,1,7,1,1,0,5,16,9,0,1,6,395,1373,978,0.403885480572597,465,1303,838,0.5548926014319809,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,3,2,1.0
7,108,30,140,0.9712230215827338,0.0,0.532608695652174,0.1764705882352941,0,18,122,0,22,8,8,100,64,39,14,78,0.3282051282051282,0.2,0.0717948717948717,0.4,195,597.6875,24.44764814864612,57.0,21.0,18.0,11.0,10.0,3.0,4.0,7.0,1.2820512820512822,0.5714285714285714,2.025641025641025,0.703125,440,108,0.2454545454545454,0.1970802919708029,91,16,15,10,308,76,8,0,3,21,277,62,90,0.0,0.1285714285714285,0.8714285714285714,0.0,0.7333333333333333,0.2666666666666666,0.925925925925926,0.7307692307692307,0.2692307692307692,0.2142857142857142,0.2857142857142857,0.5,0.4615384615384616,0.282051282051282,0.2564102564102564,0.2068181818181818,0.0363636363636363,0.034090909090909,0.0227272727272727,0.7,0.7037037037037037,0.074074074074074,0.0,0.0277777777777777,0.1944444444444444,0.6456876456876457,0.1445221445221445,0.2097902097902098,308,39,21,18,151,8,52,0,2.041,0.89,25,10,0,1,2,0,1,1,0,2,0,0,0,2,359,1340,981,0.365953109072375,433,1266,833,0.5198079231692679,2,3,2,4,2,2,2,2,3,2,2,2,2,2,2,1,1,2,1,2,2,2,3,2,3,2,4,2,1,2,2,3,3,3,2,1,1,2,1.0
8,129,109,91,0.9817629179331308,0.0,0.4772727272727273,0.545,0,15,76,0,73,36,16,113,92,198,63,29,0.2408376963350785,0.518324607329843,0.1649214659685864,0.0759162303664921,382,3999.25,63.23962365479415,24.0,5.0,117.0,57.0,24.0,8.0,36.0,19.0,2.313131313131313,2.0793650793650795,1.5862068965517242,0.9456521739130436,1524,205,0.134514435695538,0.1185656448814343,286,88,28,42,1080,151,12,3,5,34,961,193,285,0.0,0.1648351648351648,0.8351648351648352,0.0,0.6697247706422018,0.3302752293577982,0.875968992248062,0.8275862068965517,0.1724137931034483,0.1269841269841269,0.5714285714285714,0.3015873015873016,0.5909090909090909,0.2878787878787879,0.1212121212121212,0.1876640419947506,0.0577427821522309,0.0183727034120734,0.0275590551181102,0.7086614173228346,0.7365853658536585,0.0585365853658536,0.0146341463414634,0.024390243902439,0.1658536585365853,0.6678248783877693,0.1341209173036831,0.1980542043085476,1080,49,34,26,191,18,133,0,1.7537,0.95,23,19,0,3,5,0,1,3,1,15,4,0,10,1,799,2815,2016,0.396329365079365,835,2779,1944,0.429526748971193,2,2,1,2,2,2,1,2,2,2,2,4,3,3,3,1,2,2,2,2,1,2,2,2,4,2,1,2,1,2,1,2,2,4,1,1,2,1,1.0
9,151,25,154,0.987878787878788,0.0,0.5138461538461538,0.1396648044692737,0,13,141,1,17,7,7,144,47,31,11,56,0.3241379310344827,0.2137931034482758,0.0758620689655172,0.3862068965517241,145,292.6875,17.108112110925624,45.0,11.0,15.0,0.0,16.0,6.0,2.0,3.0,1.5161290322580645,1.0909090909090908,1.3035714285714286,0.425531914893617,206,226,1.0970873786407769,0.5231481481481481,103,58,11,3,31,194,9,2,6,15,28,39,136,0.0,0.0844155844155844,0.9155844155844156,0.04,0.68,0.28,0.9536423841059604,0.8035714285714286,0.1964285714285714,0.5454545454545454,0.1818181818181818,0.2727272727272727,0.4838709677419355,0.0,0.5161290322580645,0.5,0.2815533980582524,0.0533980582524271,0.0145631067961165,0.1504854368932038,0.8584070796460177,0.0398230088495575,0.0088495575221238,0.0265486725663716,0.0663716814159292,0.1379310344827586,0.1921182266009852,0.6699507389162561,32,28,15,6,175,2,37,0,2.0247,0.88,8,5,0,0,3,1,0,1,1,2,1,0,1,0,174,915,741,0.234817813765182,415,674,259,1.6023166023166,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2,3,2,2,2,2,2,0.0
10,75,62,62,0.9597989949748744,0.0,0.453125,0.5,0,12,50,0,52,10,11,64,102,38,34,173,0.2939481268011527,0.1095100864553314,0.0979827089337175,0.4985590778097983,347,3207.6875,56.63645027718457,15.0,158.0,6.0,19.0,13.0,19.0,10.0,5.0,1.2105263157894737,1.1470588235294117,1.369942196531792,0.9019607843137256,627,89,0.1419457735247209,0.1243016759776536,91,32,13,14,477,60,7,5,0,17,408,104,104,0.0,0.1935483870967742,0.8064516129032258,0.0,0.8387096774193549,0.1612903225806451,0.8533333333333334,0.0867052023121387,0.9132947976878611,0.5588235294117647,0.2941176470588235,0.1470588235294117,0.1578947368421052,0.5,0.3421052631578947,0.1451355661881977,0.0510366826156299,0.0207336523125996,0.0223285486443381,0.7607655502392344,0.6741573033707865,0.0786516853932584,0.0561797752808988,0.0,0.191011235955056,0.6623376623376623,0.1688311688311688,0.1688311688311688,477,29,17,20,107,13,62,0,1.9474,0.9,30,16,0,1,4,3,0,0,1,12,6,1,1,4,398,1579,1181,0.3370025402201519,477,1500,1023,0.4662756598240471,3,4,2,2,2,1,1,2,3,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,6,1,2,2,1,2,2,2,2,6,2,1,1,2,0.0
11,56,18,264,0.6094674556213018,0.0887573964497041,0.4929577464788733,0.0638297872340425,0,29,235,1,8,9,17,39,49,146,99,34,0.149390243902439,0.4451219512195122,0.3018292682926829,0.1036585365853658,328,1944.5,44.09648512069868,29.0,5.0,76.0,19.0,51.0,43.0,20.0,36.0,1.8698630136986296,1.5151515151515151,1.1176470588235294,0.5918367346938775,526,166,0.3155893536121673,0.2398843930635838,251,88,42,31,114,142,9,0,3,12,123,119,276,0.0,0.1098484848484848,0.8901515151515151,0.0555555555555555,0.4444444444444444,0.5,0.6964285714285714,0.8529411764705882,0.1470588235294117,0.4343434343434344,0.202020202020202,0.3636363636363637,0.5205479452054794,0.1301369863013698,0.3493150684931507,0.4771863117870722,0.1673003802281368,0.0798479087452471,0.05893536121673,0.2167300380228136,0.8554216867469879,0.0542168674698795,0.0,0.0180722891566265,0.072289156626506,0.2374517374517374,0.2297297297297297,0.5328185328185329,115,41,12,21,253,8,121,0,3.7794,0.96,11,6,3,9,4,0,0,3,1,9,1,3,5,0,450,2007,1557,0.2890173410404619,923,1534,611,1.51063829787234,4,2,3,5,2,5,4,9,4,8,23,22,5,11,5,3,3,5,5,5,3,3,5,4,6,4,3,4,3,4,3,5,5,6,5,3,3,5,0.0
12,55,28,284,0.7411444141689373,0.0381471389645776,0.4938271604938271,0.0897435897435897,1,37,246,4,5,19,16,39,18,46,57,73,0.0927835051546391,0.2371134020618557,0.2938144329896907,0.3762886597938144,194,402.25,20.05617112013158,70.0,3.0,9.0,6.0,31.0,28.0,11.0,18.0,0.8478260869565217,1.0526315789473684,1.5342465753424657,0.6666666666666666,313,204,0.6517571884984026,0.3945841392649903,144,67,14,17,71,176,10,0,3,15,74,68,164,0.0035211267605633,0.130281690140845,0.8661971830985915,0.1428571428571428,0.1785714285714285,0.6785714285714286,0.7090909090909091,0.9589041095890408,0.0410958904109589,0.4912280701754386,0.1929824561403508,0.3157894736842105,0.1956521739130435,0.1304347826086956,0.6739130434782609,0.4600638977635783,0.2140575079872204,0.0447284345047923,0.0543130990415335,0.2268370607028754,0.8627450980392157,0.0490196078431372,0.0,0.0147058823529411,0.0735294117647058,0.2418300653594771,0.2222222222222222,0.5359477124183006,75,53,16,17,250,7,119,0,3.3803,0.83,4,6,0,1,1,0,0,0,1,5,1,0,0,4,266,1209,943,0.2820784729586429,501,974,473,1.05919661733615,3,3,4,4,3,3,2,9,3,5,3,4,11,4,4,2,2,4,4,4,2,2,5,3,3,3,3,3,2,3,4,4,6,3,3,2,4,3,0.0
13,98,121,51,1.0,0.0,0.4326530612244898,0.7034883720930233,1,4,46,2,65,54,10,88,105,125,36,45,0.337620578778135,0.4019292604501608,0.1157556270096463,0.1446945337620578,311,1447.6875,38.04848880047669,27.0,18.0,52.0,57.0,16.0,16.0,18.0,2.0,2.12,1.0,1.4222222222222225,0.7714285714285715,1229,278,0.22620016273393,0.1844724618447246,293,98,36,41,761,222,16,5,7,28,665,161,331,0.0196078431372549,0.0784313725490196,0.9019607843137256,0.0165289256198347,0.5371900826446281,0.4462809917355372,0.8979591836734694,0.6,0.4,0.4444444444444444,0.5,0.0555555555555555,0.416,0.456,0.128,0.2384052074857608,0.0797396257119609,0.0292921074043938,0.033360455655004,0.6192026037428804,0.7985611510791367,0.0575539568345323,0.0179856115107913,0.0251798561151079,0.1007194244604316,0.57476231633535,0.139152981849611,0.2860847018150389,763,33,29,19,149,15,107,1,1.8158,0.86,23,17,0,0,2,1,0,1,0,11,5,0,4,2,795,2424,1629,0.488029465930018,703,2516,1813,0.387755102040816,2,1,2,3,2,1,1,2,2,2,2,3,2,3,2,2,1,3,2,1,1,2,2,2,3,2,3,2,1,2,2,3,2,3,2,1,1,2,1.0
